Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Trae Young,2026,27.0,0.3225,0.09363302271088414,-0.22886697728911587,0.22886697728911587,Overpaid,0.5538213480831489,73.6,29,Above Average,0.017172754979322444,81,"Franchise point guard, off-ball value not captured in box score"
Austin Reaves,2026,27.0,0.28,0.12697081965846924,-0.1530291803415308,0.1530291803415308,Overpaid,1.2696729923552341,95.3,6,Elite,0.04534546401268693,71,
Walker Kessler,2026,24.0,0.1962,0.05816793615029182,-0.1380320638497082,0.1380320638497082,Overpaid,0.2924221418160071,52.8,51,Average,0.014904288573700668,82,"Restricted FA — sign-and-trade, Lakers gave up 2 firsts + 2 swaps"
Draymond Green,2026,35.0,0.1678,0.07618367869132588,-0.09161632130867413,0.09161632130867413,Overpaid,0.16327159800308655,36.8,68,Average,0.009730130989456886,85,
Coby White,2026,25.0,0.1495,0.07196890248725661,-0.07753109751274338,0.07753109751274338,Overpaid,0.09923450355860941,32.1,73,Average,0.00663775943535849,89,
Gary Trent Jr.,2026,27.0,0.09699999999999999,0.0211397119199108,-0.07586028808008918,0.07586028808008918,Overpaid,-0.6222262548569153,0.9,106,Low,-0.06414703658318714,98,
Ayo Dosunmu,2026,26.0,0.1358,0.06567805194399624,-0.07012194805600376,0.07012194805600376,Overpaid,0.8973291144333355,89.6,12,Above Average,0.06607725437653428,64,
Mitchell Robinson,2026,27.0,0.0958,0.043000170464199496,-0.0527998295358005,0.0527998295358005,Overpaid,1.3782494653408757,97.2,4,Elite,0.14386737634038368,34,
Jock Landale,2026,30.0,0.0855,0.03941939699723339,-0.04608060300276662,0.04608060300276662,Overpaid,0.5717257766989012,74.5,28,Above Average,0.06686851189460832,63,
John Collins,2026,28.0,0.10310000000000001,0.0645542840296006,-0.03854571597039941,0.03854571597039941,Overpaid,0.6594260002973193,79.2,23,Above Average,0.0639598448397012,65,
Quentin Grimes,2026,25.0,0.0909,0.05834911042923163,-0.03255088957076836,0.03255088957076836,Overpaid,0.38477441741750584,62.3,41,Average,0.04232941885781143,74,
Rui Hachimura,2026,27.0,0.0849,0.05251786230857962,-0.032382137691420385,0.032382137691420385,Overpaid,0.06990010919859335,30.2,75,Average,0.008233228409728309,87,
Norman Powell,2026,32.0,0.1336,0.102583694472384,-0.031016305527616,0.031016305527616,Overpaid,0.8364630959843744,87.7,14,Above Average,0.06260951317248312,66,
Spencer Jones,2026,24.0,0.0356,0.008903940314590277,-0.026696059685409723,0.026696059685409723,Overpaid,0.10217693051696902,34.0,71,Average,0.02870138497667669,77,
Tari Eason,2026,24.0,0.0987,0.0765720012775694,-0.022127998722430597,0.022127998722430597,Overpaid,0.43401420676167624,67.0,36,Average,0.04397307059388817,72,
Isaiah Hartenstein,2026,27.0,0.1516,0.13027483759093267,-0.021325162409067344,0.021325162409067344,Overpaid,1.3116796663365111,96.2,5,Elite,0.08652240543116826,56,
